Food,Grams,Protein,Fat,Carbs,Healthiness_Score
Gingerbread,100,3.6363636363636362,12.727272727272727,50.90909090909091,9.09090909090909
"Plain, with no icing",100,7.2727272727272725,9.090909090909092,56.36363636363636,14.999999999999996
Sponge cake,100,7.5,5.0,55.00000000000001,16.875
Candy,100,0.0,12.0,76.0,13.0
Chocolate creams,100,0.0,13.333333333333334,80.0,13.333333333333332
Fudge,100,0.0,13.333333333333334,88.88888888888889,15.555555555555554
Hard candies,100,0.0,0.0,100.0,25.0
Marshmallows,100,3.3333333333333335,0.0,76.66666666666667,21.666666666666668
Milk chocolate,100,3.571428571428571,10.714285714285714,78.57142857142857,16.96428571428571
Chocolate syrup,100,0.0,0.0,55.00000000000001,13.750000000000002
Doughnuts,100,6.0606060606060606,21.21212121212121,51.515151515151516,6.818181818181817
"Gelatin, made with water",100,1.6736401673640167,0.0,15.062761506276152,5.02092050209205
Honey,100,0.0,0.0,71.42857142857143,17.857142857142858
Ice cream,100,0.0,0.0,0.0,0.0
Ices,100,0.0,0.0,32.0,8.0
preserves,100,0.0,0.0,70.0,17.5
Jellies,100,0.0,0.0,65.0,16.25
Molasses,100,0.0,0.0,55.00000000000001,13.750000000000002
Cane Syrup,100,0.0,0.0,65.0,16.25
"9"" diam. pie",100,2.2222222222222223,9.62962962962963,39.25925925925926,6.666666666666666
Cherry Pie,100,2.2222222222222223,9.62962962962963,40.74074074074074,7.037037037037036
Custard,100,5.384615384615385,8.461538461538462,26.153846153846157,6.346153846153846
Lemon meringue,100,3.3333333333333335,10.0,37.5,6.875
Mince,100,2.2222222222222223,6.666666666666667,45.925925925925924,9.814814814814813
Pumpkin Pie,100,3.8461538461538463,9.230769230769232,26.153846153846157,4.8076923076923075
Puddings Sugar,100,0.0,0.0,99.5,24.875
3 teaspoons sugar,100,0.0,0.0,100.0,25.0
"Brown, firm-packed, dark sugar",100,0.0,0.0,95.45454545454545,23.863636363636363
Syrup,100,0.0,0.0,62.5,15.625
table blends sugar,100,0.0,0.0,72.5,18.125
Tapioca cream pudding,100,4.0,4.0,16.8,5.2
Almonds,100,18.571428571428573,54.285714285714285,18.571428571428573,-8.57142857142857
roasted and salted,100,18.571428571428573,57.14285714285714,18.571428571428573,-9.999999999999996
Brazil nuts,100,14.285714285714285,67.14285714285714,10.0,-20.357142857142854
Cashews,100,17.142857142857142,45.714285714285715,28.57142857142857,-2.8571428571428577
coconut sweetened,100,2.0,40.0,52.0,-5.5
Peanut butter,100,24.0,50.0,18.0,-2.5
"Peanut butter, natural",100,26.0,48.0,16.0,-0.5
Peanuts,100,26.0,50.0,18.0,-1.0
Pecans,100,9.615384615384617,67.3076923076923,13.461538461538462,-23.076923076923073
Sesame seeds,100,18.0,48.0,20.0,-5.5
Sunflower seeds,100,24.0,52.0,20.0,-3.0
Walnuts,100,14.000000000000002,64.0,16.0,-17.5
